BHK,Rent,Size,Area Type,City,Furnishing Status,Bathroom,Point of Contact
2,12000,650,Super Area,Kolkata,Unfurnished,2,Contact Owner
3,30000,2000,Super Area,Kolkata,Semi-Furnished,2,Contact Owner
3,15000,1068,Super Area,Kolkata,Semi-Furnished,2,Contact Owner
1,7500,150,Super Area,Kolkata,Furnished,1,Contact Owner
1,7500,450,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
2,5000,800,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
2,15000,1000,Super Area,Kolkata,Unfurnished,2,Contact Owner
2,11000,900,Super Area,Kolkata,Semi-Furnished,1,Contact Owner
1,7000,600,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
2,6000,1200,Super Area,Kolkata,Unfurnished,1,Contact Owner
2,6000,1200,Super Area,Kolkata,Semi-Furnished,2,Contact Owner
2,7000,650,Super Area,Kolkata,Semi-Furnished,2,Contact Owner
2,8500,720,Carpet Area,Kolkata,Semi-Furnished,2,Contact Owner
1,5000,300,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
3,30000,1200,Carpet Area,Kolkata,Unfurnished,3,Contact Agent
2,10000,700,Carpet Area,Kolkata,Unfurnished,2,Contact Owner
3,30000,2000,Super Area,Kolkata,Semi-Furnished,2,Contact Owner
1,3500,250,Super Area,Kolkata,Semi-Furnished,1,Contact Owner
2,8000,1100,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
1,5000,300,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
2,7500,600,Super Area,Kolkata,Semi-Furnished,1,Contact Owner
2,6500,800,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
1,7500,680,Super Area,Kolkata,Unfurnished,1,Contact Owner
1,7500,680,Super Area,Kolkata,Unfurnished,1,Contact Owner
2,16000,850,Carpet Area,Kolkata,Semi-Furnished,1,Contact Agent
2,16000,850,Carpet Area,Kolkata,Semi-Furnished,1,Contact Agent
2,6500,700,Super Area,Kolkata,Unfurnished,1,Contact Owner
3,40000,1500,Super Area,Kolkata,Unfurnished,2,Contact Owner
2,12500,950,Super Area,Kolkata,Semi-Furnished,2,Contact Owner
2,5500,500,Super Area,Kolkata,Unfurnished,1,Contact Owner
1,5000,450,Carpet Area,Kolkata,Semi-Furnished,1,Contact Owner
2,6500,700,Super Area,Kolkata,Unfurnished,1,Contact Owner
1,8000,500,Super Area,Kolkata,Unfurnished,1,Contact Owner
3,14500,1800,Super Area,Kolkata,Semi-Furnished,2,Contact Owner
1,8200,500,Carpet Area,Kolkata,Semi-Furnished,1,Contact Owner
2,15000,480,Carpet Area,Kolkata,Furnished,2,Contact Owner
6,20000,1000,Super Area,Kolkata,Semi-Furnished,2,Contact Owner
2,6700,800,Super Area,Kolkata,Furnished,1,Contact Owner
1,10000,435,Super Area,Kolkata,Unfurnished,1,Contact Owner
2,7000,700,Carpet Area,Kolkata,Semi-Furnished,2,Contact Agent
2,22000,800,Super Area,Kolkata,Furnished,1,Contact Agent
2,6500,450,Super Area,Kolkata,Unfurnished,1,Contact Owner
2,8500,550,Carpet Area,Kolkata,Semi-Furnished,1,Contact Agent
2,18000,800,Carpet Area,Kolkata,Unfurnished,2,Contact Agent
2,12000,550,Carpet Area,Kolkata,Semi-Furnished,2,Contact Owner
1,9000,600,Super Area,Kolkata,Furnished,1,Contact Owner
1,6000,500,Super Area,Kolkata,Unfurnished,1,Contact Owner
2,20000,1000,Super Area,Kolkata,Furnished,2,Contact Owner
1,5000,300,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
2,12000,1200,Super Area,Kolkata,Furnished,2,Contact Owner
2,10000,500,Carpet Area,Kolkata,Semi-Furnished,1,Contact Owner
4,18000,1200,Super Area,Kolkata,Unfurnished,2,Contact Owner
2,15000,900,Carpet Area,Kolkata,Semi-Furnished,2,Contact Agent
3,22000,1300,Carpet Area,Kolkata,Unfurnished,3,Contact Agent
4,35000,1600,Carpet Area,Kolkata,Unfurnished,3,Contact Agent
3,21000,1450,Super Area,Kolkata,Unfurnished,2,Contact Owner
2,25000,1100,Super Area,Kolkata,Furnished,2,Contact Agent
2,180000,950,Carpet Area,Kolkata,Unfurnished,2,Contact Owner
1,6000,600,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
2,14000,700,Carpet Area,Kolkata,Unfurnished,2,Contact Owner
3,8000,750,Super Area,Kolkata,Unfurnished,1,Contact Owner
2,8000,1000,Super Area,Kolkata,Unfurnished,1,Contact Owner
1,6000,220,Super Area,Kolkata,Furnished,1,Contact Owner
1,8000,300,Carpet Area,Kolkata,Semi-Furnished,1,Contact Agent
1,6000,300,Carpet Area,Kolkata,Unfurnished,1,Contact Agent
1,20000,700,Super Area,Kolkata,Semi-Furnished,1,Contact Owner
3,12000,800,Super Area,Kolkata,Unfurnished,2,Contact Owner
3,15000,1600,Super Area,Kolkata,Unfurnished,2,Contact Owner
2,14000,1000,Carpet Area,Kolkata,Unfurnished,2,Contact Owner
1,5000,20,Super Area,Kolkata,Unfurnished,1,Contact Owner
2,7000,400,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
1,3900,200,Super Area,Kolkata,Furnished,1,Contact Owner
3,14000,840,Carpet Area,Kolkata,Unfurnished,2,Contact Owner
1,6300,300,Carpet Area,Kolkata,Unfurnished,1,Contact Agent
2,13000,550,Carpet Area,Kolkata,Furnished,2,Contact Agent
1,6800,300,Carpet Area,Kolkata,Unfurnished,1,Contact Agent
2,8000,800,Super Area,Kolkata,Unfurnished,2,Contact Owner
2,10000,740,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
2,18000,1300,Super Area,Kolkata,Unfurnished,2,Contact Owner
2,8000,650,Super Area,Kolkata,Semi-Furnished,1,Contact Owner
2,8000,490,Super Area,Kolkata,Semi-Furnished,1,Contact Owner
1,4700,250,Super Area,Kolkata,Furnished,1,Contact Owner
1,4700,250,Super Area,Kolkata,Furnished,1,Contact Owner
1,4500,450,Super Area,Kolkata,Unfurnished,1,Contact Owner
1,6000,300,Carpet Area,Kolkata,Semi-Furnished,1,Contact Owner
2,16000,750,Super Area,Kolkata,Unfurnished,2,Contact Owner
1,4700,250,Super Area,Kolkata,Furnished,1,Contact Owner
2,14000,751,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
2,9000,900,Carpet Area,Kolkata,Semi-Furnished,1,Contact Owner
2,5000,400,Carpet Area,Kolkata,Semi-Furnished,1,Contact Owner
2,17500,1000,Carpet Area,Kolkata,Semi-Furnished,2,Contact Agent
2,8500,1000,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
3,15000,1500,Carpet Area,Kolkata,Semi-Furnished,2,Contact Owner
2,12500,750,Carpet Area,Kolkata,Unfurnished,2,Contact Owner
1,13000,1200,Super Area,Kolkata,Semi-Furnished,1,Contact Owner
2,8000,700,Super Area,Kolkata,Unfurnished,1,Contact Owner
2,8000,700,Carpet Area,Kolkata,Furnished,1,Contact Owner
2,8000,1000,Super Area,Kolkata,Semi-Furnished,1,Contact Owner
2,7000,1200,Super Area,Kolkata,Unfurnished,2,Contact Owner
2,2200,550,Super Area,Kolkata,Furnished,1,Contact Owner
2,8000,800,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
2,5500,280,Super Area,Kolkata,Unfurnished,1,Contact Owner
3,20000,1100,Super Area,Kolkata,Unfurnished,3,Contact Owner
2,7000,950,Super Area,Kolkata,Unfurnished,1,Contact Agent
1,3500,250,Super Area,Kolkata,Furnished,1,Contact Owner
2,5000,1000,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
3,20000,1000,Carpet Area,Kolkata,Semi-Furnished,2,Contact Owner
2,7000,650,Super Area,Kolkata,Unfurnished,1,Contact Owner
2,10000,700,Super Area,Kolkata,Unfurnished,2,Contact Owner
2,7000,700,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
3,12000,1000,Super Area,Kolkata,Semi-Furnished,2,Contact Owner
2,14500,900,Carpet Area,Kolkata,Unfurnished,2,Contact Owner
1,6000,700,Super Area,Kolkata,Unfurnished,1,Contact Owner
2,9500,700,Super Area,Kolkata,Unfurnished,2,Contact Owner
2,10000,450,Carpet Area,Kolkata,Semi-Furnished,2,Contact Owner
1,3500,120,Super Area,Kolkata,Unfurnished,1,Contact Owner
2,9000,800,Super Area,Kolkata,Semi-Furnished,2,Contact Owner
3,40000,1220,Carpet Area,Kolkata,Unfurnished,2,Contact Owner
3,16500,1100,Super Area,Kolkata,Unfurnished,1,Contact Owner
3,8000,700,Carpet Area,Kolkata,Unfurnished,2,Contact Owner
2,12000,800,Super Area,Kolkata,Furnished,1,Contact Owner
2,6500,670,Super Area,Kolkata,Unfurnished,1,Contact Owner
4,40000,1300,Super Area,Kolkata,Unfurnished,3,Contact Owner
1,5000,190,Super Area,Kolkata,Semi-Furnished,1,Contact Owner
2,9000,700,Super Area,Kolkata,Semi-Furnished,1,Contact Owner
1,7000,240,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
2,18000,850,Carpet Area,Kolkata,Semi-Furnished,1,Contact Owner
1,9000,950,Super Area,Kolkata,Unfurnished,2,Contact Owner
1,5500,450,Carpet Area,Kolkata,Furnished,1,Contact Owner
2,7500,800,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
2,4000,600,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
3,10500,800,Carpet Area,Kolkata,Unfurnished,2,Contact Owner
3,15000,1100,Carpet Area,Kolkata,Unfurnished,2,Contact Owner
2,15000,800,Carpet Area,Kolkata,Furnished,1,Contact Owner
1,50000,2200,Super Area,Kolkata,Furnished,3,Contact Owner
2,12000,950,Carpet Area,Kolkata,Unfurnished,2,Contact Owner
2,11000,550,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
2,12000,1800,Carpet Area,Kolkata,Unfurnished,2,Contact Owner
2,8000,1000,Super Area,Kolkata,Furnished,1,Contact Owner
2,18000,600,Super Area,Kolkata,Semi-Furnished,2,Contact Owner
2,8000,750,Carpet Area,Kolkata,Semi-Furnished,2,Contact Owner
2,7000,685,Super Area,Kolkata,Unfurnished,1,Contact Agent
1,6500,44,Carpet Area,Kolkata,Furnished,1,Contact Owner
4,13000,1200,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
2,9000,500,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
4,10000,1110,Carpet Area,Kolkata,Unfurnished,2,Contact Owner
2,12000,1000,Super Area,Kolkata,Unfurnished,2,Contact Owner
2,5000,392,Super Area,Kolkata,Unfurnished,1,Contact Owner
2,6000,700,Super Area,Kolkata,Unfurnished,1,Contact Owner
1,5200,750,Super Area,Kolkata,Unfurnished,1,Contact Owner
3,15000,1500,Super Area,Kolkata,Unfurnished,2,Contact Owner
2,9000,900,Super Area,Kolkata,Unfurnished,2,Contact Owner
1,24000,710,Super Area,Kolkata,Furnished,1,Contact Agent
1,5500,400,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
1,10000,700,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
2,15000,1000,Carpet Area,Kolkata,Semi-Furnished,1,Contact Owner
1,4700,250,Super Area,Kolkata,Furnished,1,Contact Owner
1,5000,500,Carpet Area,Kolkata,Semi-Furnished,1,Contact Owner
2,5000,450,Carpet Area,Kolkata,Semi-Furnished,1,Contact Owner
3,15000,1400,Super Area,Kolkata,Unfurnished,1,Contact Owner
1,5000,500,Carpet Area,Kolkata,Semi-Furnished,1,Contact Owner
2,6000,700,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
3,18000,1200,Carpet Area,Kolkata,Semi-Furnished,1,Contact Owner
2,8000,450,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
1,13000,500,Carpet Area,Kolkata,Furnished,1,Contact Agent
2,7500,400,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
3,12000,1000,Super Area,Kolkata,Unfurnished,2,Contact Owner
2,11000,750,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
1,6000,450,Super Area,Kolkata,Unfurnished,1,Contact Owner
3,20000,1000,Carpet Area,Kolkata,Unfurnished,2,Contact Agent
2,7000,500,Carpet Area,Kolkata,Unfurnished,2,Contact Owner
4,30000,1600,Carpet Area,Kolkata,Unfurnished,2,Contact Agent
2,7500,550,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
1,6500,550,Super Area,Kolkata,Unfurnished,2,Contact Owner
1,3000,200,Super Area,Kolkata,Unfurnished,1,Contact Owner
2,5200,650,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
2,25000,1000,Super Area,Kolkata,Furnished,2,Contact Owner
2,12500,680,Carpet Area,Kolkata,Unfurnished,2,Contact Owner
2,8500,720,Carpet Area,Kolkata,Unfurnished,2,Contact Owner
2,3500,500,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
2,7000,800,Super Area,Kolkata,Unfurnished,1,Contact Owner
1,3000,160,Super Area,Kolkata,Unfurnished,1,Contact Owner
2,14000,1200,Carpet Area,Kolkata,Unfurnished,2,Contact Agent
1,18000,700,Super Area,Kolkata,Furnished,1,Contact Owner
1,3500,1000,Super Area,Kolkata,Semi-Furnished,1,Contact Owner
2,16000,1250,Super Area,Kolkata,Unfurnished,2,Contact Agent
4,35000,1600,Super Area,Kolkata,Unfurnished,3,Contact Owner
2,21000,700,Super Area,Kolkata,Semi-Furnished,1,Contact Owner
1,4500,450,Super Area,Kolkata,Unfurnished,1,Contact Owner
2,15000,839,Super Area,Kolkata,Semi-Furnished,2,Contact Owner
1,4500,230,Super Area,Kolkata,Unfurnished,1,Contact Owner
1,5500,1800,Super Area,Kolkata,Unfurnished,1,Contact Owner
2,8500,800,Super Area,Kolkata,Unfurnished,2,Contact Owner
1,5000,500,Carpet Area,Kolkata,Semi-Furnished,1,Contact Owner
2,8500,620,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
2,9000,650,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
1,7500,550,Super Area,Kolkata,Semi-Furnished,1,Contact Agent
2,7000,450,Carpet Area,Kolkata,Furnished,2,Contact Owner
3,15000,1350,Carpet Area,Kolkata,Unfurnished,2,Contact Owner
2,7000,600,Super Area,Kolkata,Semi-Furnished,2,Contact Owner
3,10000,1200,Super Area,Kolkata,Furnished,1,Contact Owner
2,7000,700,Super Area,Kolkata,Unfurnished,1,Contact Agent
3,3200,800,Carpet Area,Kolkata,Furnished,2,Contact Owner
2,6000,600,Carpet Area,Kolkata,Semi-Furnished,1,Contact Owner
2,12000,900,Super Area,Kolkata,Unfurnished,2,Contact Owner
2,6000,750,Super Area,Kolkata,Unfurnished,1,Contact Owner
3,10000,1250,Super Area,Kolkata,Unfurnished,2,Contact Owner
3,12000,1000,Super Area,Kolkata,Semi-Furnished,3,Contact Owner
2,8000,600,Super Area,Kolkata,Semi-Furnished,1,Contact Owner
2,5300,650,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
2,5000,450,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
3,8500,800,Super Area,Kolkata,Unfurnished,2,Contact Owner
3,22000,1000,Carpet Area,Kolkata,Semi-Furnished,2,Contact Owner
2,7000,1000,Super Area,Kolkata,Unfurnished,1,Contact Owner
3,25000,1400,Carpet Area,Kolkata,Furnished,3,Contact Agent
2,7000,600,Carpet Area,Kolkata,Semi-Furnished,1,Contact Owner
2,15000,723,Carpet Area,Kolkata,Furnished,1,Contact Owner
1,6000,320,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
2,8000,900,Super Area,Kolkata,Semi-Furnished,1,Contact Owner
3,40000,1400,Carpet Area,Kolkata,Furnished,2,Contact Agent
1,6000,2160,Super Area,Kolkata,Semi-Furnished,1,Contact Owner
2,15000,650,Carpet Area,Kolkata,Semi-Furnished,1,Contact Owner
2,6500,800,Super Area,Kolkata,Semi-Furnished,1,Contact Owner
3,8000,800,Super Area,Kolkata,Semi-Furnished,1,Contact Owner
1,5500,500,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
3,9000,1700,Super Area,Kolkata,Semi-Furnished,2,Contact Owner
1,6000,130,Carpet Area,Kolkata,Semi-Furnished,1,Contact Owner
1,15000,505,Super Area,Kolkata,Furnished,1,Contact Owner
4,30000,4000,Super Area,Kolkata,Furnished,3,Contact Agent
3,30000,1250,Super Area,Kolkata,Unfurnished,2,Contact Owner
1,5000,700,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
2,15000,900,Super Area,Kolkata,Unfurnished,1,Contact Owner
1,6500,650,Super Area,Kolkata,Semi-Furnished,1,Contact Owner
2,4500,750,Super Area,Kolkata,Furnished,1,Contact Owner
2,7000,450,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
1,6500,350,Carpet Area,Kolkata,Semi-Furnished,1,Contact Owner
1,17500,480,Carpet Area,Kolkata,Furnished,2,Contact Owner
2,10000,900,Super Area,Kolkata,Unfurnished,1,Contact Owner
1,1500,200,Super Area,Kolkata,Semi-Furnished,1,Contact Owner
3,25000,1100,Super Area,Kolkata,Unfurnished,3,Contact Owner
2,12000,800,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
3,7500,1000,Carpet Area,Kolkata,Furnished,2,Contact Owner
1,7000,800,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
1,3500,200,Super Area,Kolkata,Semi-Furnished,1,Contact Owner
3,10000,1190,Carpet Area,Kolkata,Unfurnished,2,Contact Owner
2,14000,900,Carpet Area,Kolkata,Unfurnished,2,Contact Agent
2,15000,1500,Super Area,Kolkata,Unfurnished,2,Contact Owner
2,6500,600,Super Area,Kolkata,Unfurnished,1,Contact Owner
3,10000,800,Super Area,Kolkata,Unfurnished,1,Contact Owner
2,10500,800,Carpet Area,Kolkata,Unfurnished,2,Contact Owner
3,10000,900,Carpet Area,Kolkata,Semi-Furnished,2,Contact Owner
1,5000,350,Carpet Area,Kolkata,Semi-Furnished,1,Contact Owner
2,9000,800,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
2,20000,1600,Carpet Area,Kolkata,Unfurnished,2,Contact Owner
3,35000,1012,Carpet Area,Kolkata,Semi-Furnished,2,Contact Owner
3,15000,1200,Carpet Area,Kolkata,Unfurnished,2,Contact Owner
2,20000,700,Super Area,Kolkata,Furnished,1,Contact Owner
2,12000,1000,Super Area,Kolkata,Semi-Furnished,1,Contact Owner
2,8000,800,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
1,3000,500,Super Area,Kolkata,Semi-Furnished,1,Contact Owner
3,20000,1200,Carpet Area,Kolkata,Semi-Furnished,2,Contact Owner
1,9000,450,Carpet Area,Kolkata,Unfurnished,1,Contact Agent
3,13000,950,Carpet Area,Kolkata,Unfurnished,2,Contact Owner
1,7000,350,Carpet Area,Kolkata,Unfurnished,1,Contact Agent
1,9000,450,Carpet Area,Kolkata,Unfurnished,1,Contact Agent
1,9000,550,Carpet Area,Kolkata,Semi-Furnished,1,Contact Owner
2,10000,300,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
3,15000,1250,Super Area,Kolkata,Semi-Furnished,2,Contact Owner
2,7000,700,Super Area,Kolkata,Unfurnished,1,Contact Owner
3,8000,812,Super Area,Kolkata,Unfurnished,2,Contact Owner
2,8000,550,Super Area,Kolkata,Unfurnished,1,Contact Owner
1,5000,500,Super Area,Kolkata,Semi-Furnished,1,Contact Owner
1,14000,320,Carpet Area,Kolkata,Furnished,1,Contact Owner
2,5000,600,Super Area,Kolkata,Unfurnished,1,Contact Owner
2,5000,420,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
3,12000,1100,Super Area,Kolkata,Unfurnished,1,Contact Owner
1,3200,220,Super Area,Kolkata,Unfurnished,1,Contact Owner
2,8500,700,Carpet Area,Kolkata,Semi-Furnished,2,Contact Owner
3,16000,1200,Carpet Area,Kolkata,Unfurnished,2,Contact Agent
2,14000,800,Carpet Area,Kolkata,Unfurnished,2,Contact Owner
1,8000,300,Carpet Area,Kolkata,Furnished,1,Contact Agent
2,7000,650,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
1,8000,600,Super Area,Kolkata,Furnished,1,Contact Owner
1,3000,350,Super Area,Kolkata,Unfurnished,1,Contact Owner
1,3800,500,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
1,6500,400,Super Area,Kolkata,Unfurnished,1,Contact Owner
3,20000,1750,Super Area,Kolkata,Semi-Furnished,3,Contact Owner
3,30000,1600,Super Area,Kolkata,Unfurnished,2,Contact Owner
1,8000,300,Carpet Area,Kolkata,Semi-Furnished,1,Contact Agent
2,14000,1100,Super Area,Kolkata,Semi-Furnished,2,Contact Owner
2,7200,830,Super Area,Kolkata,Unfurnished,1,Contact Owner
2,7000,600,Carpet Area,Kolkata,Semi-Furnished,2,Contact Owner
1,7000,500,Super Area,Kolkata,Unfurnished,2,Contact Owner
2,7500,900,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
2,8500,1250,Carpet Area,Kolkata,Unfurnished,2,Contact Owner
2,12000,700,Carpet Area,Kolkata,Unfurnished,1,Contact Agent
1,8500,850,Carpet Area,Kolkata,Unfurnished,2,Contact Owner
2,9500,550,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
2,7500,550,Carpet Area,Kolkata,Furnished,2,Contact Owner
2,12000,1200,Super Area,Kolkata,Unfurnished,1,Contact Owner
3,20000,1100,Carpet Area,Kolkata,Unfurnished,2,Contact Agent
2,8500,650,Super Area,Kolkata,Semi-Furnished,1,Contact Owner
3,20000,1050,Carpet Area,Kolkata,Unfurnished,2,Contact Agent
2,6000,960,Super Area,Kolkata,Semi-Furnished,2,Contact Owner
2,5500,650,Carpet Area,Kolkata,Unfurnished,2,Contact Owner
1,7000,550,Super Area,Kolkata,Semi-Furnished,1,Contact Owner
2,7000,500,Super Area,Kolkata,Semi-Furnished,2,Contact Owner
1,6500,450,Super Area,Kolkata,Unfurnished,1,Contact Owner
2,10000,850,Super Area,Kolkata,Unfurnished,2,Contact Owner
1,5200,300,Carpet Area,Kolkata,Unfurnished,1,Contact Agent
2,13000,1000,Carpet Area,Kolkata,Semi-Furnished,3,Contact Owner
2,7000,500,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
2,12000,756,Carpet Area,Kolkata,Semi-Furnished,1,Contact Owner
1,15000,1000,Super Area,Kolkata,Unfurnished,1,Contact Owner
1,5000,150,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
1,8000,800,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
2,8000,700,Super Area,Kolkata,Unfurnished,2,Contact Agent
1,5000,420,Super Area,Kolkata,Unfurnished,1,Contact Owner
2,10000,800,Super Area,Kolkata,Unfurnished,1,Contact Agent
2,12000,288,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
2,8000,900,Super Area,Kolkata,Unfurnished,2,Contact Owner
2,21000,850,Carpet Area,Kolkata,Unfurnished,2,Contact Agent
1,5000,350,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
2,9000,600,Super Area,Kolkata,Unfurnished,1,Contact Owner
2,8000,1600,Carpet Area,Kolkata,Semi-Furnished,1,Contact Owner
2,7000,986,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
3,35000,1330,Carpet Area,Kolkata,Unfurnished,2,Contact Agent
3,15000,1300,Super Area,Kolkata,Semi-Furnished,2,Contact Owner
2,6200,800,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
2,9900,800,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
2,7000,850,Super Area,Kolkata,Unfurnished,1,Contact Owner
1,5000,322,Carpet Area,Kolkata,Unfurnished,1,Contact Agent
2,6500,800,Carpet Area,Kolkata,Furnished,1,Contact Owner
4,40000,1500,Carpet Area,Kolkata,Unfurnished,2,Contact Agent
3,40000,3500,Super Area,Kolkata,Semi-Furnished,2,Contact Owner
2,12000,957,Carpet Area,Kolkata,Furnished,2,Contact Owner
1,6500,850,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
2,10000,900,Carpet Area,Kolkata,Unfurnished,2,Contact Owner
2,15000,600,Super Area,Kolkata,Semi-Furnished,1,Contact Owner
1,5000,350,Carpet Area,Kolkata,Semi-Furnished,1,Contact Owner
2,7000,800,Super Area,Kolkata,Unfurnished,1,Contact Owner
2,6000,320,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
3,15000,800,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
