BHK,Rent,Size,Floor,Area Type,City,Furnishing Status,Bathroom
2,10000,700,7 out of 8,Carpet Area,Kolkata,Unfurnished,2
3,30000,2000,1 out of 3,Super Area,Kolkata,Semi-Furnished,2
1,3500,250,Ground out of 4,Super Area,Kolkata,Semi-Furnished,1
2,8000,1100,Ground out of 3,Carpet Area,Kolkata,Unfurnished,1
1,5000,300,Ground out of 2,Carpet Area,Kolkata,Unfurnished,1
2,7500,600,Ground out of 2,Super Area,Kolkata,Semi-Furnished,1
2,6500,800,Ground out of 2,Carpet Area,Kolkata,Unfurnished,1
1,7500,680,1 out of 3,Super Area,Kolkata,Unfurnished,1
1,7500,680,Ground out of 2,Super Area,Kolkata,Unfurnished,1
2,16000,850,1 out of 4,Carpet Area,Kolkata,Semi-Furnished,1
2,16000,850,1 out of 2,Carpet Area,Kolkata,Semi-Furnished,1
2,6500,700,Ground out of 2,Super Area,Kolkata,Unfurnished,1
3,40000,1500,Ground out of 2,Super Area,Kolkata,Unfurnished,2
2,12500,950,1 out of 4,Super Area,Kolkata,Semi-Furnished,2
2,5500,500,Ground out of 2,Super Area,Kolkata,Unfurnished,1
1,5000,450,2 out of 4,Carpet Area,Kolkata,Semi-Furnished,1
2,6500,700,Ground out of 2,Super Area,Kolkata,Unfurnished,1
1,8000,500,1 out of 2,Super Area,Kolkata,Unfurnished,1
3,14500,1800,Ground out of 2,Super Area,Kolkata,Semi-Furnished,2
1,8200,500,1 out of 3,Carpet Area,Kolkata,Semi-Furnished,1
2,15000,480,Ground out of 3,Carpet Area,Kolkata,Furnished,2
6,20000,1000,1 out of 1,Super Area,Kolkata,Semi-Furnished,2
2,6700,800,1 out of 2,Super Area,Kolkata,Furnished,1
1,10000,435,2 out of 3,Super Area,Kolkata,Unfurnished,1
2,7000,700,Ground out of 2,Carpet Area,Kolkata,Semi-Furnished,2
2,22000,800,4 out of 4,Super Area,Kolkata,Furnished,1
2,6500,450,1 out of 3,Super Area,Kolkata,Unfurnished,1
2,8500,550,2 out of 3,Carpet Area,Kolkata,Semi-Furnished,1
2,18000,800,Ground out of 4,Carpet Area,Kolkata,Unfurnished,2
2,12000,550,Ground out of 2,Carpet Area,Kolkata,Semi-Furnished,2
1,9000,600,2 out of 4,Super Area,Kolkata,Furnished,1
1,6000,500,Ground out of 1,Super Area,Kolkata,Unfurnished,1
2,20000,1000,1 out of 2,Super Area,Kolkata,Furnished,2
1,5000,300,1 out of 2,Carpet Area,Kolkata,Unfurnished,1
2,12000,1200,1 out of 3,Super Area,Kolkata,Furnished,2
2,10000,500,3 out of 4,Carpet Area,Kolkata,Semi-Furnished,1
4,18000,1200,1 out of 2,Super Area,Kolkata,Unfurnished,2
2,15000,900,1 out of 2,Carpet Area,Kolkata,Semi-Furnished,2
3,22000,1300,Ground out of 2,Carpet Area,Kolkata,Unfurnished,3
4,35000,1600,1 out of 5,Carpet Area,Kolkata,Unfurnished,3
3,21000,1450,Ground out of 1,Super Area,Kolkata,Unfurnished,2
2,25000,1100,2 out of 2,Super Area,Kolkata,Furnished,2
2,180000,950,Ground out of 1,Carpet Area,Kolkata,Unfurnished,2
1,6000,600,8 out of 5,Carpet Area,Kolkata,Unfurnished,1
2,14000,700,Ground out of 2,Carpet Area,Kolkata,Unfurnished,2
3,8000,750,Ground out of 2,Super Area,Kolkata,Unfurnished,1
2,8000,1000,Ground out of 1,Super Area,Kolkata,Unfurnished,1
1,6000,220,Ground out of 2,Super Area,Kolkata,Furnished,1
1,8000,300,1 out of 3,Carpet Area,Kolkata,Semi-Furnished,1
1,6000,300,Ground out of 1,Carpet Area,Kolkata,Unfurnished,1
1,20000,700,1 out of 2,Super Area,Kolkata,Semi-Furnished,1
3,12000,800,Ground out of 1,Super Area,Kolkata,Unfurnished,2
3,15000,1600,1 out of 3,Super Area,Kolkata,Unfurnished,2
2,14000,1000,1 out of 3,Carpet Area,Kolkata,Unfurnished,2
1,5000,20,2 out of 3,Super Area,Kolkata,Unfurnished,1
2,7000,400,Ground out of 2,Carpet Area,Kolkata,Unfurnished,1
1,3900,200,2 out of 2,Super Area,Kolkata,Furnished,1
3,14000,840,1 out of 4,Carpet Area,Kolkata,Unfurnished,2
1,6300,300,1 out of 1,Carpet Area,Kolkata,Unfurnished,1
2,13000,550,1 out of 2,Carpet Area,Kolkata,Furnished,2
1,6800,300,1 out of 2,Carpet Area,Kolkata,Unfurnished,1
2,8000,800,1 out of 1,Super Area,Kolkata,Unfurnished,2
2,10000,740,Ground out of 6,Carpet Area,Kolkata,Unfurnished,1
2,18000,1300,1 out of 1,Super Area,Kolkata,Unfurnished,2
2,8000,650,Ground out of 1,Super Area,Kolkata,Semi-Furnished,1
2,8000,490,1 out of 1,Super Area,Kolkata,Semi-Furnished,1
1,4700,250,2 out of 2,Super Area,Kolkata,Furnished,1
1,4700,250,Ground out of 1,Super Area,Kolkata,Furnished,1
1,4500,450,1 out of 2,Super Area,Kolkata,Unfurnished,1
1,6000,300,Ground out of 1,Carpet Area,Kolkata,Semi-Furnished,1
2,16000,750,1 out of 3,Super Area,Kolkata,Unfurnished,2
1,4700,250,1 out of 2,Super Area,Kolkata,Furnished,1
2,14000,751,3 out of 3,Carpet Area,Kolkata,Unfurnished,1
2,9000,900,Ground out of 2,Carpet Area,Kolkata,Semi-Furnished,1
2,5000,400,1 out of 3,Carpet Area,Kolkata,Semi-Furnished,1
2,17500,1000,Ground out of 2,Carpet Area,Kolkata,Semi-Furnished,2
2,8500,1000,Ground out of 1,Carpet Area,Kolkata,Unfurnished,1
3,15000,1500,1 out of 1,Carpet Area,Kolkata,Semi-Furnished,2
2,12500,750,1 out of 3,Carpet Area,Kolkata,Unfurnished,2
1,13000,1200,2 out of 4,Super Area,Kolkata,Semi-Furnished,1
2,8000,700,Ground out of 1,Super Area,Kolkata,Unfurnished,1
2,8000,700,4 out of 4,Carpet Area,Kolkata,Furnished,1
2,8000,1000,Ground out of 2,Super Area,Kolkata,Semi-Furnished,1
2,7000,1200,1 out of 3,Super Area,Kolkata,Unfurnished,2
2,2200,550,2 out of 3,Super Area,Kolkata,Furnished,1
2,8000,800,Ground out of 4,Carpet Area,Kolkata,Unfurnished,1
2,5500,280,1 out of 3,Super Area,Kolkata,Unfurnished,1
3,20000,1100,Ground out of 2,Super Area,Kolkata,Unfurnished,3
2,7000,950,Ground out of 2,Super Area,Kolkata,Unfurnished,1
1,3500,250,1 out of 2,Super Area,Kolkata,Furnished,1
2,5000,1000,Ground out of 2,Carpet Area,Kolkata,Unfurnished,1
3,20000,1000,Ground out of 2,Carpet Area,Kolkata,Semi-Furnished,2
2,7000,650,Ground out of 2,Super Area,Kolkata,Unfurnished,1
2,10000,700,1 out of 2,Super Area,Kolkata,Unfurnished,2
2,7000,700,Ground out of 3,Carpet Area,Kolkata,Unfurnished,1
3,12000,1000,Ground out of 3,Super Area,Kolkata,Semi-Furnished,2
2,14500,900,1 out of 4,Carpet Area,Kolkata,Unfurnished,2
1,6000,700,1 out of 2,Super Area,Kolkata,Unfurnished,1
2,9500,700,1 out of 2,Super Area,Kolkata,Unfurnished,2
2,10000,450,2 out of 1,Carpet Area,Kolkata,Semi-Furnished,2
1,3500,120,Ground out of 3,Super Area,Kolkata,Unfurnished,1
2,9000,800,1 out of 2,Super Area,Kolkata,Semi-Furnished,2
3,40000,1220,2 out of 3,Carpet Area,Kolkata,Unfurnished,2
3,16500,1100,Ground out of 3,Super Area,Kolkata,Unfurnished,1
3,8000,700,Ground out of 3,Carpet Area,Kolkata,Unfurnished,2
2,12000,800,Ground out of 3,Super Area,Kolkata,Furnished,1
2,6500,670,2 out of 2,Super Area,Kolkata,Unfurnished,1
4,40000,1300,1 out of 2,Super Area,Kolkata,Unfurnished,3
1,5000,190,Ground out of 2,Super Area,Kolkata,Semi-Furnished,1
2,9000,700,Ground out of 2,Super Area,Kolkata,Semi-Furnished,1
1,7000,240,Ground out of 4,Carpet Area,Kolkata,Unfurnished,1
2,18000,850,2 out of 4,Carpet Area,Kolkata,Semi-Furnished,1
1,9000,950,1 out of 2,Super Area,Kolkata,Unfurnished,2
1,5500,450,1 out of 2,Carpet Area,Kolkata,Furnished,1
2,7500,800,Ground out of 2,Carpet Area,Kolkata,Unfurnished,1
2,4000,600,1 out of 2,Carpet Area,Kolkata,Unfurnished,1
3,10500,800,2 out of 2,Carpet Area,Kolkata,Unfurnished,2
3,15000,1100,Ground out of 2,Carpet Area,Kolkata,Unfurnished,2
2,15000,800,Ground out of 2,Carpet Area,Kolkata,Furnished,1
1,50000,2200,2 out of 5,Super Area,Kolkata,Furnished,3
2,12000,950,1 out of 1,Carpet Area,Kolkata,Unfurnished,2
2,11000,550,2 out of 3,Carpet Area,Kolkata,Unfurnished,1
2,12000,1800,1 out of 1,Carpet Area,Kolkata,Unfurnished,2
2,8000,1000,Ground out of 2,Super Area,Kolkata,Furnished,1
2,18000,600,Ground out of 3,Super Area,Kolkata,Semi-Furnished,2
2,8000,750,2 out of 4,Carpet Area,Kolkata,Semi-Furnished,2
2,7000,685,2 out of 3,Super Area,Kolkata,Unfurnished,1
1,6500,44,Ground out of 1,Carpet Area,Kolkata,Furnished,1
4,13000,1200,Ground out of 2,Carpet Area,Kolkata,Unfurnished,1
2,9000,500,Ground out of 2,Carpet Area,Kolkata,Unfurnished,1
4,10000,1110,2 out of 2,Carpet Area,Kolkata,Unfurnished,2
2,12000,1000,1 out of 3,Super Area,Kolkata,Unfurnished,2
2,5000,392,Ground out of 2,Super Area,Kolkata,Unfurnished,1
2,6000,700,1 out of 2,Super Area,Kolkata,Unfurnished,1
1,5200,750,2 out of 4,Super Area,Kolkata,Unfurnished,1
3,15000,1500,1 out of 2,Super Area,Kolkata,Unfurnished,2
2,9000,900,Ground out of 1,Super Area,Kolkata,Unfurnished,2
1,24000,710,1 out of 1,Super Area,Kolkata,Furnished,1
1,5500,400,Ground out of 3,Carpet Area,Kolkata,Unfurnished,1
1,10000,700,1 out of 2,Carpet Area,Kolkata,Unfurnished,1
2,15000,1000,Ground out of 2,Carpet Area,Kolkata,Semi-Furnished,1
1,4700,250,1 out of 2,Super Area,Kolkata,Furnished,1
1,5000,500,Ground out of 3,Carpet Area,Kolkata,Semi-Furnished,1
2,5000,450,2 out of 2,Carpet Area,Kolkata,Semi-Furnished,1
3,15000,1400,1 out of 3,Super Area,Kolkata,Unfurnished,1
1,5000,500,1 out of 1,Carpet Area,Kolkata,Semi-Furnished,1
2,6000,700,Ground out of 1,Carpet Area,Kolkata,Unfurnished,1
3,18000,1200,1 out of 3,Carpet Area,Kolkata,Semi-Furnished,1
2,8000,450,1 out of 2,Carpet Area,Kolkata,Unfurnished,1
1,13000,500,2 out of 2,Carpet Area,Kolkata,Furnished,1
2,7500,400,Ground out of 1,Carpet Area,Kolkata,Unfurnished,1
3,12000,1000,Ground out of 1,Super Area,Kolkata,Unfurnished,2
2,11000,750,Ground out of 1,Carpet Area,Kolkata,Unfurnished,1
1,6000,450,Ground out of 2,Super Area,Kolkata,Unfurnished,1
3,20000,1000,1 out of 2,Carpet Area,Kolkata,Unfurnished,2
2,7000,500,1 out of 1,Carpet Area,Kolkata,Unfurnished,2
4,30000,1600,Ground out of 1,Carpet Area,Kolkata,Unfurnished,2
2,7500,550,Ground out of 1,Carpet Area,Kolkata,Unfurnished,1
1,6500,550,1 out of 2,Super Area,Kolkata,Unfurnished,2
1,3000,200,2 out of 3,Super Area,Kolkata,Unfurnished,1
2,5200,650,1 out of 2,Carpet Area,Kolkata,Unfurnished,1
2,25000,1000,1 out of 1,Super Area,Kolkata,Furnished,2
2,12500,680,Ground out of 2,Carpet Area,Kolkata,Unfurnished,2
2,8500,720,Ground out of 1,Carpet Area,Kolkata,Unfurnished,2
2,3500,500,4 out of 5,Carpet Area,Kolkata,Unfurnished,1
2,7000,800,Ground out of 2,Super Area,Kolkata,Unfurnished,1
1,3000,160,Ground out of 1,Super Area,Kolkata,Unfurnished,1
2,14000,1200,1 out of 2,Carpet Area,Kolkata,Unfurnished,2
1,18000,700,Ground out of 4,Super Area,Kolkata,Furnished,1
1,3500,1000,Ground out of 1,Super Area,Kolkata,Semi-Furnished,1
2,16000,1250,Ground out of 1,Super Area,Kolkata,Unfurnished,2
4,35000,1600,Ground out of 3,Super Area,Kolkata,Unfurnished,3
2,21000,700,Ground out of 2,Super Area,Kolkata,Semi-Furnished,1
1,4500,450,Ground out of 2,Super Area,Kolkata,Unfurnished,1
2,15000,839,1 out of 3,Super Area,Kolkata,Semi-Furnished,2
1,4500,230,Ground out of 3,Super Area,Kolkata,Unfurnished,1
1,5500,1800,Ground out of 2,Super Area,Kolkata,Unfurnished,1
2,8500,800,1 out of 2,Super Area,Kolkata,Unfurnished,2
1,5000,500,Ground out of 1,Carpet Area,Kolkata,Semi-Furnished,1
2,8500,620,Ground out of 1,Carpet Area,Kolkata,Unfurnished,1
2,9000,650,2 out of 3,Carpet Area,Kolkata,Unfurnished,1
1,7500,550,1 out of 2,Super Area,Kolkata,Semi-Furnished,1
2,7000,450,1 out of 3,Carpet Area,Kolkata,Furnished,2
3,15000,1350,1 out of 2,Carpet Area,Kolkata,Unfurnished,2
2,7000,600,2 out of 2,Super Area,Kolkata,Semi-Furnished,2
3,10000,1200,2 out of 4,Super Area,Kolkata,Furnished,1
2,7000,700,1 out of 2,Super Area,Kolkata,Unfurnished,1
3,3200,800,1 out of 3,Carpet Area,Kolkata,Furnished,2
2,6000,600,Ground out of 3,Carpet Area,Kolkata,Semi-Furnished,1
2,12000,900,1 out of 3,Super Area,Kolkata,Unfurnished,2
2,6000,750,Ground out of 1,Super Area,Kolkata,Unfurnished,1
3,10000,1250,1 out of 2,Super Area,Kolkata,Unfurnished,2
3,12000,1000,2 out of 2,Super Area,Kolkata,Semi-Furnished,3
2,8000,600,Ground out of 2,Super Area,Kolkata,Semi-Furnished,1
2,5300,650,1 out of 1,Carpet Area,Kolkata,Unfurnished,1
2,5000,450,2 out of 3,Carpet Area,Kolkata,Unfurnished,1
3,8500,800,Ground out of 2,Super Area,Kolkata,Unfurnished,2
3,22000,1000,Ground out of 3,Carpet Area,Kolkata,Semi-Furnished,2
2,7000,1000,Ground out of 3,Super Area,Kolkata,Unfurnished,1
3,25000,1400,5 out of 5,Carpet Area,Kolkata,Furnished,3
2,7000,600,1 out of 4,Carpet Area,Kolkata,Semi-Furnished,1
2,15000,723,Ground out of 3,Carpet Area,Kolkata,Furnished,1
1,6000,320,Ground out of 2,Carpet Area,Kolkata,Unfurnished,1
2,8000,900,Ground out of 3,Super Area,Kolkata,Semi-Furnished,1
3,40000,1400,Ground out of 2,Carpet Area,Kolkata,Furnished,2
1,6000,2160,1 out of 2,Super Area,Kolkata,Semi-Furnished,1
2,15000,650,Ground out of 2,Carpet Area,Kolkata,Semi-Furnished,1
2,6500,800,1 out of 1,Super Area,Kolkata,Semi-Furnished,1
3,8000,800,2 out of 3,Super Area,Kolkata,Semi-Furnished,1
1,5500,500,Ground out of 2,Carpet Area,Kolkata,Unfurnished,1
3,9000,1700,1 out of 2,Super Area,Kolkata,Semi-Furnished,2
1,6000,130,Ground out of 2,Carpet Area,Kolkata,Semi-Furnished,1
1,15000,505,Ground out of 3,Super Area,Kolkata,Furnished,1
4,30000,4000,Ground out of 3,Super Area,Kolkata,Furnished,3
3,30000,1250,Ground out of 2,Super Area,Kolkata,Unfurnished,2
1,5000,700,Ground out of 2,Carpet Area,Kolkata,Unfurnished,1
2,15000,900,Ground out of 1,Super Area,Kolkata,Unfurnished,1
1,6500,650,1 out of 1,Super Area,Kolkata,Semi-Furnished,1
2,4500,750,Ground out of 1,Super Area,Kolkata,Furnished,1
2,7000,450,Ground out of 3,Carpet Area,Kolkata,Unfurnished,1
1,6500,350,1 out of 2,Carpet Area,Kolkata,Semi-Furnished,1
1,17500,480,1 out of 2,Carpet Area,Kolkata,Furnished,2
2,10000,900,Ground out of 3,Super Area,Kolkata,Unfurnished,1
1,1500,200,Ground out of 2,Super Area,Kolkata,Semi-Furnished,1
3,25000,1100,2 out of 3,Super Area,Kolkata,Unfurnished,3
2,12000,800,1 out of 2,Carpet Area,Kolkata,Unfurnished,1
3,7500,1000,Ground out of 2,Carpet Area,Kolkata,Furnished,2
1,7000,800,1 out of 2,Carpet Area,Kolkata,Unfurnished,1
1,3500,200,Upper Basement out of 4,Super Area,Kolkata,Semi-Furnished,1
3,10000,1190,1 out of 2,Carpet Area,Kolkata,Unfurnished,2
2,14000,900,Ground out of 2,Carpet Area,Kolkata,Unfurnished,2
2,15000,1500,Ground out of 2,Super Area,Kolkata,Unfurnished,2
2,6500,600,2 out of 3,Super Area,Kolkata,Unfurnished,1
3,10000,800,Ground out of 4,Super Area,Kolkata,Unfurnished,1
2,10500,800,1 out of 2,Carpet Area,Kolkata,Unfurnished,2
3,10000,900,Ground out of 3,Carpet Area,Kolkata,Semi-Furnished,2
1,5000,350,Ground out of 3,Carpet Area,Kolkata,Semi-Furnished,1
2,9000,800,Ground out of 2,Carpet Area,Kolkata,Unfurnished,1
2,20000,1600,Ground out of 3,Carpet Area,Kolkata,Unfurnished,2
3,35000,1012,2 out of 3,Carpet Area,Kolkata,Semi-Furnished,2
3,15000,1200,Ground out of 2,Carpet Area,Kolkata,Unfurnished,2
2,20000,700,1 out of 2,Super Area,Kolkata,Furnished,1
2,12000,1000,1 out of 3,Super Area,Kolkata,Semi-Furnished,1
2,8000,800,Ground out of 3,Carpet Area,Kolkata,Unfurnished,1
1,3000,500,Ground out of 1,Super Area,Kolkata,Semi-Furnished,1
3,20000,1200,Ground out of 1,Carpet Area,Kolkata,Semi-Furnished,2
1,9000,450,Ground out of 2,Carpet Area,Kolkata,Unfurnished,1
3,13000,950,Ground out of 2,Carpet Area,Kolkata,Unfurnished,2
1,7000,350,Ground out of 2,Carpet Area,Kolkata,Unfurnished,1
1,9000,450,Ground out of 3,Carpet Area,Kolkata,Unfurnished,1
1,9000,550,Ground out of 2,Carpet Area,Kolkata,Semi-Furnished,1
2,10000,300,Ground out of 1,Carpet Area,Kolkata,Unfurnished,1
3,15000,1250,Ground out of 3,Super Area,Kolkata,Semi-Furnished,2
2,7000,700,2 out of 3,Super Area,Kolkata,Unfurnished,1
3,8000,812,Ground out of 3,Super Area,Kolkata,Unfurnished,2
2,8000,550,Ground out of 2,Super Area,Kolkata,Unfurnished,1
1,5000,500,Ground out of 1,Super Area,Kolkata,Semi-Furnished,1
1,14000,320,1 out of 2,Carpet Area,Kolkata,Furnished,1
2,5000,600,Ground out of 2,Super Area,Kolkata,Unfurnished,1
2,5000,420,Ground out of 2,Carpet Area,Kolkata,Unfurnished,1
3,12000,1100,Ground out of 2,Super Area,Kolkata,Unfurnished,1
1,3200,220,3 out of 4,Super Area,Kolkata,Unfurnished,1
2,8500,700,Ground out of 2,Carpet Area,Kolkata,Semi-Furnished,2
3,16000,1200,Ground out of 2,Carpet Area,Kolkata,Unfurnished,2
2,14000,800,Ground out of 3,Carpet Area,Kolkata,Unfurnished,2
1,8000,300,Ground out of 1,Carpet Area,Kolkata,Furnished,1
2,7000,650,Ground out of 2,Carpet Area,Kolkata,Unfurnished,1
1,8000,600,1 out of 2,Super Area,Kolkata,Furnished,1
1,3000,350,Ground out of 3,Super Area,Kolkata,Unfurnished,1
1,3800,500,1 out of 3,Carpet Area,Kolkata,Unfurnished,1
1,6500,400,1 out of 1,Super Area,Kolkata,Unfurnished,1
3,20000,1750,Ground out of 3,Super Area,Kolkata,Semi-Furnished,3
3,30000,1600,3 out of 3,Super Area,Kolkata,Unfurnished,2
1,8000,300,Ground out of 2,Carpet Area,Kolkata,Semi-Furnished,1
2,14000,1100,1 out of 3,Super Area,Kolkata,Semi-Furnished,2
2,7200,830,Ground out of 3,Super Area,Kolkata,Unfurnished,1
2,7000,600,Ground out of 2,Carpet Area,Kolkata,Semi-Furnished,2
1,7000,500,1 out of 2,Super Area,Kolkata,Unfurnished,2
2,7500,900,1 out of 2,Carpet Area,Kolkata,Unfurnished,1
2,8500,1250,Ground out of 1,Carpet Area,Kolkata,Unfurnished,2
2,12000,700,Ground out of 2,Carpet Area,Kolkata,Unfurnished,1
1,8500,850,Ground out of 1,Carpet Area,Kolkata,Unfurnished,2
2,9500,550,Ground out of 1,Carpet Area,Kolkata,Unfurnished,1
2,7500,550,Ground out of 1,Carpet Area,Kolkata,Furnished,2
2,12000,1200,Ground out of 1,Super Area,Kolkata,Unfurnished,1
3,20000,1100,Ground out of 1,Carpet Area,Kolkata,Unfurnished,2
2,8500,650,Ground out of 1,Super Area,Kolkata,Semi-Furnished,1
3,20000,1050,Ground out of 1,Carpet Area,Kolkata,Unfurnished,2
2,6000,960,Ground out of 2,Super Area,Kolkata,Semi-Furnished,2
2,5500,650,1 out of 1,Carpet Area,Kolkata,Unfurnished,2
1,7000,550,Ground out of 2,Super Area,Kolkata,Semi-Furnished,1
2,7000,500,Ground out of 1,Super Area,Kolkata,Semi-Furnished,2
1,6500,450,3 out of 4,Super Area,Kolkata,Unfurnished,1
2,10000,850,1 out of 2,Super Area,Kolkata,Unfurnished,2
1,5200,300,Ground out of 3,Carpet Area,Kolkata,Unfurnished,1
2,13000,1000,1 out of 2,Carpet Area,Kolkata,Semi-Furnished,3
2,7000,500,1 out of 3,Carpet Area,Kolkata,Unfurnished,1
2,12000,756,Ground out of 3,Carpet Area,Kolkata,Semi-Furnished,1
1,15000,1000,2 out of 3,Super Area,Kolkata,Unfurnished,1
1,5000,150,1 out of 2,Carpet Area,Kolkata,Unfurnished,1
1,8000,800,Ground out of 2,Carpet Area,Kolkata,Unfurnished,1
2,8000,700,2 out of 3,Super Area,Kolkata,Unfurnished,2
1,5000,420,3 out of 3,Super Area,Kolkata,Unfurnished,1
2,10000,800,Ground out of 1,Super Area,Kolkata,Unfurnished,1
2,12000,288,2 out of 3,Carpet Area,Kolkata,Unfurnished,1
2,8000,900,Ground out of 1,Super Area,Kolkata,Unfurnished,2
2,21000,850,1 out of 1,Carpet Area,Kolkata,Unfurnished,2
1,5000,350,1 out of 1,Carpet Area,Kolkata,Unfurnished,1
2,9000,600,Ground out of 2,Super Area,Kolkata,Unfurnished,1
2,8000,1600,Ground out of 2,Carpet Area,Kolkata,Semi-Furnished,1
2,7000,986,2 out of 3,Carpet Area,Kolkata,Unfurnished,1
3,35000,1330,1 out of 3,Carpet Area,Kolkata,Unfurnished,2
3,15000,1300,Ground out of 3,Super Area,Kolkata,Semi-Furnished,2
2,6200,800,Ground out of 2,Carpet Area,Kolkata,Unfurnished,1
2,9900,800,1 out of 4,Carpet Area,Kolkata,Unfurnished,1
2,7000,850,Ground out of 3,Super Area,Kolkata,Unfurnished,1
1,5000,322,1 out of 3,Carpet Area,Kolkata,Unfurnished,1
2,6500,800,Ground out of 2,Carpet Area,Kolkata,Furnished,1
4,40000,1500,Ground out of 2,Carpet Area,Kolkata,Unfurnished,2
3,40000,3500,1 out of 2,Super Area,Kolkata,Semi-Furnished,2
2,12000,957,1 out of 2,Carpet Area,Kolkata,Furnished,2
1,6500,850,1 out of 3,Carpet Area,Kolkata,Unfurnished,1
2,10000,900,Ground out of 2,Carpet Area,Kolkata,Unfurnished,2
